Test,TargetSendRate,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput
addOperators,1000,10080,0,959.1,1.86,0.16,0.59,936.4
addOperators,100,1056,0,105.2,0.62,0.11,0.36,104.0
addOperators,1100,11040,0,1059.9,2.34,0.18,0.66,1021.7
addOperators,1200,12000,0,1145.1,2.25,0.15,0.88,1102.7
addOperators,125,1344,0,129.4,2.21,0.12,0.65,127.5
addOperators,1300,13056,0,1236.2,4.12,0.48,2.40,1182.4
addOperators,1400,14016,0,1319.0,5.64,0.47,3.41,1194.9
addOperators,1500,15072,0,1332.9,8.48,0.43,4.22,1167.8
addOperators,150,1536,0,153.1,0.63,0.11,0.37,151.2
addOperators,1600,16032,0,1372.1,8.58,0.48,4.94,1192.9
addOperators,1700,17088,0,1376.2,10.13,0.50,6.00,1184.3
addOperators,175,1824,0,178.0,0.61,0.05,0.37,174.8
addOperators,1800,14890,3158,1496.6,8.77,0.49,4.91,1352.4
addOperators,1900,19008,0,1405.6,10.86,0.59,6.61,1205.5
addOperators,2000,14351,5713,1716.0,10.29,0.40,6.48,1428.1
addOperators,200,2016,0,200.9,0.63,0.05,0.32,196.5
addOperators,2100,12463,8561,1902.6,10.55,0.62,7.99,1561.1
addOperators,2200,22080,0,1806.6,13.10,0.43,9.71,1207.8
addOperators,225,2304,0,225.0,0.62,0.06,0.32,214.4
addOperators,2300,16536,6504,2019.6,10.95,0.58,7.88,1476.4
addOperators,2400,17217,6783,1959.2,13.03,0.60,10.17,1430.4
addOperators,2500,20430,4626,1969.3,13.74,0.32,9.14,1373.6
addOperators,250,2592,0,249.1,0.62,0.06,0.32,241.9
addOperators,25,288,0,35.3,0.63,0.07,0.34,35.0
addOperators,2600,15211,10805,2061.7,11.76,0.54,8.11,1653.3
addOperators,2700,17664,9408,2246.5,14.06,0.73,10.53,1525.9
addOperators,275,2784,0,273.0,0.63,0.06,0.32,259.9
addOperators,2800,13017,15015,2389.2,12.00,0.54,8.85,1837.0
addOperators,2900,10335,18753,2806.6,12.30,0.47,8.79,2004.5
addOperators,3000,21179,8869,1617.1,15.69,0.61,10.29,1550.7
addOperators,300,3072,0,294.9,0.62,0.07,0.33,287.6
addOperators,3100,31008,0,1676.0,17.43,0.66,10.22,1269.5
addOperators,3200,21082,10982,2183.6,15.41,0.60,10.03,1595.9
addOperators,325,3264,0,324.4,0.67,0.06,0.33,318.1
addOperators,3300,12856,20168,2683.6,13.23,0.60,10.38,2014.1
addOperators,3400,13767,20313,2573.4,14.37,0.74,10.33,1977.9
addOperators,3500,13648,21392,2754.7,13.14,0.51,9.20,1986.1
addOperators,350,3552,0,344.8,0.67,0.07,0.33,331.3
addOperators,3600,20685,15315,2934.0,16.37,0.50,10.22,1718.1
addOperators,3700,18066,18990,2718.9,17.12,0.58,12.58,1833.6
addOperators,375,3840,0,368.1,0.82,0.08,0.35,356.9
addOperators,3800,28878,9138,1932.8,19.46,0.52,11.94,1487.0
addOperators,3900,17286,21786,1912.2,17.94,0.36,13.07,1878.6
addOperators,4000,35515,4517,2025.1,22.86,0.57,14.63,1326.5
