test,requested rate (tps),succ,fail,send rate (tps),max latency (s),min latency (s),avg latency (s),throughput (tps)
logBeacons,360,1559,2089,356.2,28.09,0.08,12.43,117.4
logBeacons,370,1572,2172,366.2,27.12,0.08,12.33,124.2
logBeacons,380,1516,2324,375.1,29.04,0.10,13.28,117.4
logBeacons,390,1587,2349,384.5,29.55,0.08,13.29,120.7
logBeacons,400,1606,2426,395.7,29.54,0.09,13.14,123.6
logBeacons,40,480,0,48.2,0.64,0.26,0.46,46.9
logBeacons,425,1598,2722,418.8,32.30,0.10,14.73,123.0
logBeacons,450,1657,2855,442.3,32.37,0.10,14.96,127.7
logBeacons,475,1586,3214,467.0,34.67,0.10,16.00,127.8
logBeacons,500,1603,3485,492.5,38.93,0.11,18.13,122.5
logBeacons,50,576,0,58.1,0.64,0.29,0.47,56.3
logBeacons,525,1579,3701,516.3,39.41,0.14,18.55,125.4
logBeacons,550,1542,4026,540.2,40.71,0.11,19.29,128.9
logBeacons,575,1527,4233,561.1,43.92,0.13,20.87,124.2
logBeacons,600,1652,4396,588.3,45.86,0.17,22.07,125.0
logBeacons,60,672,0,67.6,0.66,0.28,0.46,65.7
logBeacons,625,1652,4684,613.2,49.46,0.17,23.84,122.3
logBeacons,650,1640,4888,635.6,48.89,0.17,23.71,126.4
logBeacons,675,1587,5229,658.6,53.07,0.18,25.81,123.2
logBeacons,700,1586,5422,686.1,54.14,0.19,26.41,124.3
logBeacons,70,768,0,77.3,0.64,0.29,0.47,75.1
logBeacons,725,1490,5806,707.0,53.72,0.23,28.31,130.5
logBeacons,750,1441,6143,734.0,54.23,0.28,29.14,134.7
logBeacons,775,1358,6418,755.8,51.72,0.26,28.94,145.3
logBeacons,800,1322,6742,779.1,60.27,0.31,33.25,114.7
logBeacons,80,851,13,86.9,2.60,0.29,0.57,69.6
logBeacons,825,1363,6893,802.4,56.84,0.28,31.15,139.4
logBeacons,850,1405,7139,826.1,58.43,0.29,33.09,141.6
logBeacons,875,1373,7459,852.3,60.53,0.32,35.14,141.9
logBeacons,900,1287,7737,873.9,56.69,0.34,31.19,133.6
logBeacons,90,927,33,97.0,3.16,0.33,0.79,76.5
logBeacons,925,1006,8306,897.9,54.42,0.42,29.83,159.7
logBeacons,950,951,8553,925.2,62.99,0.33,27.27,135.2
