TargetSendRate,meanSucc,stdSucc,meanFail,stdFail,meanSendRate,stdSendRate,meanMaxLatency,stdMaxLatency,meanMinLatency,stdMinLatency,meanAvgLatency,stdAvgLatency,meanThroughput,stdThroughput
200.0,1537.2,24.142171493973866,478.8,24.142171493973866,202.47,0.31989581637360315,12.521,0.4205142354572817,0.132,0.006324555320336764,5.236,0.18792433465508276,107.99000000000001,2.5322146652902657
400.0,1614.3,25.68635608428901,2417.7,25.68635608428901,395.23,0.3860051813123678,29.558999999999997,0.6351806392235554,0.121,0.007378647873726222,13.293000000000001,0.2993344469170081,123.25999999999999,2.386629422428206
600.0,1616.6,31.241710011528568,4431.4,31.2417100115288,586.23,0.9214119599831738,46.081,1.5699430279825806,0.194,0.020655911179772894,21.952,0.8720830745341223,124.91,4.01066633421985
800.0,1282.8,116.77975471421027,6781.2,116.77975471421026,777.62,2.1096603202095383,54.685,3.731896300810086,0.306,0.02756809750418044,29.389999999999997,3.2555354568966246,137.18,12.961978586963061
1000.0,1119.9,179.90457347036943,8960.1,179.90457347036946,969.78,2.5090060006127977,57.527,5.025654296816596,0.397,0.06342975116877989,32.741,4.433118917120693,153.26,10.69768406920135
1200.0,995.8,79.94136740275476,11004.2,79.94136740275484,1159.71,3.0153127716890937,56.36900000000001,4.327209647490323,0.39899999999999997,0.041486276177925545,34.314,2.1416929959471043,194.02,23.208274386519996
1400.0,958.3,86.16399093202062,13057.7,86.16399093202071,1351.81,4.585108747044279,53.727999999999994,5.652532962211621,0.514,0.06040603354706289,33.37,2.268641296753043,241.35999999999999,34.48388351421896
1600.0,1124.3,337.70929313044775,14907.7,337.70929313044775,1539.06,5.492054867412246,64.512,15.226187091105027,0.586,0.11207140580897518,38.337,6.021946990430551,235.99,53.90278182885265
1800.0,1331.1,239.0910798094409,16716.9,239.09107980944108,1730.8,9.819142302439444,76.826,14.165947589593541,0.689,0.10503438590396107,44.949,5.420759376897504,225.85,40.170089757319566
2000.0,1180.7,250.56590686725625,18883.3,250.56590686725622,1918.4450000000002,7.4306247523694715,82.882,10.481030784984345,0.7104999999999999,0.06117059837261001,47.422000000000004,3.610524965474659,231.055,27.989254987170376
2200.0,894.3,201.55607813107235,21185.7,201.55607813107235,2108.295,9.498447241523257,73.0215,13.317654793938994,0.7985,0.04965936600057385,43.9915,3.442739537972018,295.585,50.53359773457656
2400.0,876.15,174.81457093310706,23123.85,174.81457093310672,2295.37,8.291790486600874,62.465999999999994,14.503947702172967,0.892,0.07508591570222811,41.93,8.638294787867874,378.005,101.20383014907145
2600.0,968.65,121.87624223388507,25047.35,121.87624223388549,2487.8,9.809984172958025,49.3935,22.435700937990493,1.0275,0.09978265855031337,31.633,12.540890634031413,540.525,201.4008960284254
2800.0,1012.6,253.50042042942397,27019.4,253.50042042942349,2669.8849999999998,11.64864008326603,50.3945,30.606873922630346,1.279,0.15210453469138982,31.648500000000002,15.218713298885822,684.8199999999999,365.5668915677763
3000.0,944.15,273.141234914332,29103.85,273.1412349143327,2854.785,15.484466749821088,52.431,26.71438285978075,1.4125,0.22729241541517206,32.565,13.216798123281558,640.845,336.3473290560784
