TargetSendRate,meanSucc,stdSucc,meanFail,stdFail,meanSendRate,stdSendRate,meanMaxLatency,stdMaxLatency,meanMinLatency,stdMinLatency,meanAvgLatency,stdAvgLatency,meanThroughput,stdThroughput
200.0,1719.8,73.9371354597945,4424.2,73.93713545979459,200.84,0.05477225575051836,44.254000000000005,1.4256156564796825,0.13,0.007071067811865481,19.381999999999998,0.8793008586371339,122.02000000000001,2.4014578905323325
400.0,969.8,15.578831791889915,11126.2,15.578831791889886,398.38,0.16431676725155997,88.136,1.2640727827146698,0.118,0.004472135954999579,8.459999999999999,0.6944062211702884,128.42000000000002,2.179908254950191
600.0,809.4,66.9014200148248,17334.6,66.90142001482454,595.4,0.1581138830084639,37.818,44.07229311029777,0.22200000000000003,0.027748873851023207,2.668,1.2941290507518948,174.16,36.159687498649646
800.0,1030.6,445.1789527819122,23065.4,445.1789527819118,792.36,0.6107372593840742,36.594,18.388654926339775,0.312,0.06797058187186569,17.394,13.65619566350746,374.3,139.11527594049474
1000.0,557.0,177.42181376595155,29587.0,177.42181376595119,990.0,0.6964194138591973,51.318000000000005,30.610420937974702,0.41400000000000003,0.08820430828479978,17.06,11.925074423247848,287.58000000000004,62.48261358169968
1200.0,807.6,323.7959233838499,35288.4,323.7959233838499,1185.9,1.1768602295940325,77.572,22.07297261358334,0.442,0.07049822692805828,33.968,12.329613538144656,366.3,46.67568960390409
1400.0,427.8,120.47489365008795,41716.2,120.47489365008812,1382.8799999999999,0.7190271204899075,70.654,29.67782219098969,0.508,0.04494441010848844,26.302,14.738547079003412,358.9,43.70194503680584
1600.0,711.2,608.6059480484889,47384.8,608.605948048488,1578.96,2.0019990009987,77.074,17.06711545633884,0.5880000000000001,0.06300793600809346,29.022000000000002,12.74810456499318,479.18,134.45157864450678
1800.0,757.8,335.3024008264778,53386.2,335.302400826477,1777.42,2.1323695739715665,90.066,24.793334386483803,0.628,0.10616025621672172,41.089999999999996,14.80024493040571,545.4,134.05198618446505
2000.0,791.0,376.3509000919222,59305.0,376.35090009192214,1972.6200000000001,2.5955731544305056,91.576,22.702970730721567,0.678,0.05890670590009258,41.376,12.816287684037059,549.28,47.80017782393703
2200.0,868.0,503.74497516104316,65276.0,503.74497516104276,2166.8599999999997,1.66973051717939,83.50399999999999,22.59626694832578,0.818,0.09576011695899288,43.083999999999996,16.632529272482884,650.18,76.79252567795905
2400.0,686.6,449.76916301587414,71409.4,449.76916301587505,2363.46,2.891020581040652,76.724,27.810442822795903,0.8800000000000001,0.023452078799117173,40.676,18.02046420045832,633.12,91.0679801027782
2600.0,891.8,385.69054953420886,77248.4,387.02428864348997,2560.7400000000002,4.929300153165571,69.672,32.927004418865685,1.114,0.21243822631532208,36.936,14.960099598598934,1231.92,538.2353546544485
2800.0,595.8,158.8637781245303,83496.4,158.4686088788576,2753.7799999999997,3.638955894209374,52.52,25.760402753062692,1.26,0.14662878298615178,28.451999999999998,8.820899613984958,1740.58,591.0315871423455
3000.0,690.0,321.9029356809285,89453.4,321.2620425758405,2951.1400000000003,6.780339224552088,95.586,17.32450374469641,1.3820000000000001,0.1130044246921332,43.745999999999995,7.518439332733888,816.68,161.1222268962293
