TargetSendRate,meanSucc,stdSucc,meanFail,stdFail,meanSendRate,stdSendRate,meanMaxLatency,stdMaxLatency,meanMinLatency,stdMinLatency,meanAvgLatency,stdAvgLatency,meanThroughput,stdThroughput
200.0,1774.8,13.13857763314669,241.2,13.138577633146681,202.89000000000001,0.296085573216027,0.591,0.008755950357709126,0.07,0.0,0.318,0.00421637021355785,196.12,0.3119829055146042
400.0,1931.1,5.043147165543899,2100.9,5.043147165543885,395.95,0.5797509043642022,0.615,0.005270462766947304,0.246,0.0107496769977314,0.39,0.0,378.76,0.3747591819348148
600.0,1970.1,10.060373308735201,4077.9,10.060373308735056,588.0699999999999,1.0934654391734533,0.647,0.009486832980505152,0.253,0.042700507413066344,0.43,0.0,567.3,0.26666666666666305
800.0,1998.4,13.74530222779163,6065.6,13.745302227791644,778.3100000000001,2.730669433592376,0.696,0.0157762127549323,0.28500000000000003,0.04116363011742824,0.45,0.0,753.46,0.5037636129950143
1000.0,2061.7,23.180691198591198,8018.3,23.180691198591294,967.35,4.205617935835599,0.819,0.030713731999438495,0.28700000000000003,0.03093002855909878,0.4600000000000001,0.0,943.97,0.9463966751139354
1200.0,3229.1,218.8994949489123,8770.9,218.89949494891232,1156.6399999999999,5.668078255556372,1.046,0.06131883886702358,0.296,0.020655911179772887,0.504,0.062218253841707184,1118.6799999999998,5.204656035171231
1400.0,2796.2,223.29741004618327,11219.8,223.29741004618378,1345.31,8.763871544268783,2.59,0.35624585767572264,0.335,0.11384687571958711,1.432,0.17054162085674127,1286.4299999999998,7.604245889998307
1600.0,1787.2,203.56205714992936,14244.8,203.5620571499296,1515.59,30.067902783163618,5.833,0.7298865969754786,0.563,0.1204666851134463,3.0,0.4003331945600646,1359.44,65.50895104233207
1800.0,1658.0,210.06189564030882,16390.0,210.06189564030876,1717.02,17.696879825425594,6.437,1.3463370058545272,0.712,0.14649990519526698,3.465,0.5126022933143306,1553.8799999999999,57.482863146815745
2000.0,1541.85,207.92085412230142,18522.15,207.92085412230082,1898.045,19.12580166878464,7.4995,0.7362670782578259,0.7355,0.11085671168817787,4.0975,0.5999111776360159,1701.295,65.57164402392237
2200.0,1492.5,437.8613695536162,20587.5,437.8613695536162,2072.055,26.618344979988507,8.356,1.1568760111883896,0.865,0.16249696353438342,4.63,0.7986963061600347,1803.265,95.19725933140366
2400.0,1436.95,271.38406946225626,22563.05,271.3840694622565,2254.3450000000003,31.63944032707478,8.8405,0.5737180216979871,1.0615,0.13643101206335595,4.9094999999999995,0.5545550610980606,1972.105,72.86181929190563
2600.0,1099.75,213.12755632052344,24916.25,213.12755632052415,2446.4900000000002,28.449399216670184,9.775,0.3291056461317391,1.1164999999999998,0.18904956186700156,6.286,0.7542748347358471,2143.68,80.78954856845488
2800.0,969.5,190.62017897268623,27062.5,190.6201789726863,2628.0950000000003,29.72752534534116,10.246500000000001,0.37243544124416617,1.314,0.19884932142599568,7.445,0.6785394531445347,2260.535,118.95471174933937
3000.0,953.7,218.30425412350772,29094.3,218.30425412350763,2808.8650000000002,40.773640543344925,10.7065,0.3707925366875101,1.5234999999999999,0.23279254374024227,7.8675,0.801957309534485,2316.05,104.0655587901963
