TargetSendRate,meanSucc,stdSucc,meanFail,stdFail,meanSendRate,stdSendRate,meanMaxLatency,stdMaxLatency,meanMinLatency,stdMinLatency,meanAvgLatency,stdAvgLatency,meanThroughput,stdThroughput,meanDropRatio,stdDropRatio
20.0,384.0,0.0,0.0,0.0,26.2,0.0,2.2966666666666664,0.12897028081435402,0.08333333333333333,0.005773502691896249,0.3733333333333333,0.04041451884327383,22.899999999999995,0.0,0.0,0.0
40.0,576.0,0.0,0.0,0.0,47.0,0.0,2.4066666666666667,0.26350205565295587,0.07666666666666667,0.005773502691896256,0.4366666666666667,0.1501110699893027,39.6,0.8660254037844386,0.0,0.0
60.0,768.0,0.0,0.0,0.0,67.13333333333333,0.0577350269189675,3.233333333333334,1.0027129865187412,0.07333333333333333,0.011547005383792518,0.9266666666666666,0.5407710544521898,56.4,0.43588989435406866,0.0,0.0
80.0,960.0,0.0,0.0,0.0,86.86666666666667,0.11547005383792884,1.1033333333333335,0.011547005383792509,0.07666666666666667,0.005773502691896256,0.2866666666666667,0.015275252316519447,83.83333333333333,0.5507570547286017,0.0,0.0
100.0,1152.0,0.0,0.0,0.0,106.66666666666667,0.05773502691896237,2.233333333333333,0.14433756729740638,0.07666666666666667,0.005773502691896256,0.29333333333333333,0.011547005383792502,88.7,0.7937253933193811,0.0,0.0
120.0,1344.0,0.0,0.0,0.0,126.03333333333335,0.05773502691895929,2.856666666666667,1.2326529654908283,0.07666666666666667,0.005773502691896256,0.6133333333333333,0.560029761113937,101.66666666666667,6.119912853410033,0.0,0.0
140.0,1536.0,0.0,0.0,0.0,145.83333333333334,0.20816659994660827,2.17,0.04582575694955863,0.07333333333333335,0.0057735026918962545,0.29666666666666663,0.0057735026918962675,121.33333333333333,0.15275252316518947,0.0,0.0
160.0,1728.0,0.0,0.0,0.0,165.4,0.09999999999998721,2.17,0.026457513110645783,0.07666666666666667,0.005773502691896256,0.31,0.017320508075688787,137.5,0.36055512754640406,0.0,0.0
180.0,1920.0,0.0,0.0,0.0,184.86666666666667,0.05773502691895929,0.9633333333333334,0.31564748269760273,0.09000000000000001,0.010000000000000005,0.44333333333333336,0.09073771725877462,173.63333333333333,1.4843629385474804,0.0,0.0
200.0,2112.0,0.0,0.0,0.0,204.36666666666667,0.321455025366439,2.14,0.026457513110645887,0.09000000000000001,0.0,0.9433333333333334,0.19857828011475312,169.46666666666667,0.3055050463303999,0.0,0.0
220.0,2304.0,0.0,0.0,0.0,224.20000000000002,0.10000000000001918,2.686666666666667,0.33261589458913915,0.09666666666666668,0.005773502691896264,1.4233333333333331,0.19347695814575266,179.20000000000002,3.8157568056677684,0.0,0.0
240.0,2496.0,0.0,0.0,0.0,243.73333333333335,0.3214550253664408,3.6966666666666668,0.1234233905438238,0.13,0.06928203230275509,1.9233333333333331,0.07234178138070226,179.46666666666667,1.5534906930308001,0.0,0.0
260.0,2784.0,0.0,0.0,0.0,263.0,0.29999999999999716,4.853333333333333,0.29022979401386984,0.10000000000000002,0.0,2.4966666666666666,0.16196707484341794,180.66666666666666,3.247049943153524,0.0,0.0
280.0,2976.0,0.0,0.0,0.0,282.76666666666665,0.35118845842843566,6.13,0.3555277766926234,0.09666666666666666,0.011547005383792521,3.2866666666666666,0.21455380055672119,179.33333333333334,3.572580766523473,0.0,0.0
300.0,3168.0,0.0,0.0,0.0,301.53333333333336,0.25166114784233085,7.216666666666666,0.10016652800877843,0.10666666666666667,0.005773502691896256,3.7566666666666664,0.05507570547286107,179.26666666666665,1.1372481406154609,0.0,0.0
320.0,3360.0,0.0,0.0,0.0,321.73333333333335,0.15275252316517512,8.4,0.1300000000000003,0.09333333333333334,0.005773502691896264,4.3933333333333335,0.08504900548115386,178.86666666666667,1.1846237095944456,0.0,0.0
340.0,3552.0,0.0,0.0,0.0,341.26666666666665,0.351188458428464,9.606666666666667,0.10408329997330577,0.08666666666666667,0.015275252316519465,4.8933333333333335,0.10692676621563667,177.66666666666666,0.8020806277010656,0.0,0.0
360.0,3744.0,0.0,0.0,0.0,360.76666666666665,0.32145502536644005,10.66,0.15000000000000036,0.10333333333333333,0.023094010767585035,5.536666666666666,0.05773502691896288,178.70000000000002,0.7000000000000034,0.0,0.0
380.0,3936.0,0.0,0.0,0.0,379.6333333333334,0.37859388972000924,11.886666666666665,0.04041451884327397,0.09333333333333334,0.005773502691896264,6.12,0.08185352771872463,177.20000000000002,0.2000000000000064,0.0,0.0
400.0,4128.0,0.0,0.0,0.0,398.8333333333333,1.0969655114603127,12.863333333333335,0.10969655114602873,0.09333333333333334,0.005773502691896264,6.616666666666667,0.10692676621563667,178.16666666666666,0.7571877794400275,0.0,0.0
420.0,4320.0,0.0,0.0,0.0,419.09999999999997,0.2645751311064521,13.933333333333332,0.32347076117221607,0.09333333333333334,0.005773502691896261,7.22,0.1819340539866028,178.86666666666667,2.193931022920587,0.0,0.0
440.0,4512.0,0.0,0.0,0.0,438.8666666666666,0.20816659994662876,15.31,0.357910603363466,0.10333333333333333,0.005773502691896256,7.84,0.22605309110914643,177.4333333333333,1.619670748434177,0.0,0.0
460.0,4704.0,0.0,0.0,0.0,458.3666666666666,0.23094010767583717,16.31,0.22538855339169242,0.12666666666666668,0.05507570547286102,8.293333333333335,0.05686240703077372,178.16666666666666,1.2583057392117882,0.0,0.0
480.0,4896.0,0.0,0.0,0.0,477.09999999999997,0.5567764362829897,17.633333333333333,0.4534681172181065,0.10000000000000002,0.0,8.84,0.1509966887054153,178.53333333333333,1.201388086062655,0.0,0.0
