TargetSendRate,meanSucc,stdSucc,meanFail,stdFail,meanSendRate,stdSendRate,meanMaxLatency,stdMaxLatency,meanMinLatency,stdMinLatency,meanAvgLatency,stdAvgLatency,meanThroughput,stdThroughput
200.0,2016.0,0.0,0.0,0.0,201.32999999999998,0.7803845206050716,0.643,0.014181364924121776,0.066,0.005163977794943227,0.33,0.0,195.98999999999998,0.9456919865015866
400.0,4032.0,0.0,0.0,0.0,393.49,1.7181708620248122,0.893,0.0666749994792317,0.08299999999999999,0.004830458915396477,0.352,0.004216370213557852,376.69,0.5486346689737915
600.0,6048.0,0.0,0.0,0.0,579.48,7.448609116994786,1.088,0.08954204474869772,0.099,0.011005049346146111,0.39,0.0,562.05,7.525696719315162
800.0,8064.0,0.0,0.0,0.0,774.13,5.8944512514360055,1.486,0.14307729068972166,0.129,0.005676462121975475,0.458,0.007888106377466151,751.27,1.6255255560382427
1000.0,10080.0,0.0,0.0,0.0,967.8799999999999,5.774041527003055,1.9289999999999998,0.08543353491977769,0.159,0.020248456731316578,0.563,0.008232726023485583,937.03,4.204772420846449
1200.0,12000.0,0.0,0.0,0.0,1145.19,22.64795551233904,2.366,0.2142791533387128,0.152,0.02616188916046478,0.9359999999999999,0.12222020200350586,1102.1299999999999,9.37111993781358
1400.0,14016.0,0.0,0.0,0.0,1311.91,27.348388130442586,5.422,0.5640291560627775,0.433,0.06634087059355728,3.1870000000000003,0.26919839854237215,1198.94,17.710524178201684
1600.0,15234.4,1285.6796041177777,797.6,1285.6796041177772,1435.6200000000001,55.574950392340455,8.358,0.8741065279599632,0.516,0.09663217775553737,4.829,0.5064571935404699,1231.75,58.3139253428277
1800.0,16225.4,2063.8620324258327,1822.6,2063.8620324258327,1559.72,85.53016102197189,9.803,0.7781466585562269,0.546,0.0903327183250897,5.894,0.8109144358205882,1287.46,93.5837972680694
2000.0,18235.95,1811.84986815598,1828.05,1811.84986815598,1638.04,126.3766067626525,11.294500000000001,0.7304394855874534,0.533,0.08566151257619788,7.321000000000001,0.8612347317415241,1279.455,66.26483130908164
2200.0,17770.5,3292.2077139176604,4309.5,3292.2077139176604,1767.7549999999999,197.62110604040134,11.630500000000001,1.1358904459775854,0.5555,0.09854066753323085,7.787000000000001,1.1288471063318029,1393.1399999999999,141.4833164797365
2400.0,17359.5,2965.153115776654,6640.5,2965.153115776654,1942.015,181.5408356990673,11.876999999999999,0.9369047584017222,0.5795,0.1455108966800479,7.9799999999999995,1.006714301185061,1474.1299999999999,119.76378988835093
2600.0,17069.7,4075.460246530769,8946.3,4075.4602465307685,2197.755,213.56505104139998,12.7635,1.6378460662840406,0.53,0.07469235147202861,8.599,0.7172748133698389,1565.895,185.3110428583876
2800.0,19645.15,4549.596781150241,8386.85,4549.596781150241,2144.79,354.74608398862284,13.947,1.4442521284479093,0.5855,0.14634044661606535,9.574,1.1234973590487314,1534.15,179.38612426536048
3000.0,17095.25,4908.96485899442,12952.75,4908.96485899442,2359.31,335.16569806275646,13.851499999999998,1.7459585664584008,0.562,0.09064679864872867,10.029,1.3953000054694895,1704.455,230.2924124604241
